Company Name,Ticker Symbol
LUPIN LTD.,LUPIN
LYKA LABS LTD.,LYKALABS
The Ramco Cements Limited,RAMCOCEM
MAFATLAL INDUSTRIES LTD.-$,MAFATIND
MAHARASHTRA SEAMLESS LTD.,MAHSEAMLES
MAHARASHTRA SCOOTERS LTD.,MAHSCOOTER
MAJESTIC AUTO LTD.-$,MAJESAUT
MANALI PETROCHEMICAL LTD.,MANALIPETC
Max Financial Services Ltd,MFSL
MESCO PHARMACEUTICALS LTD.,MESPHAR-B
MID INDIA INDUSTRIES LTD.,MIDINDIA
MIRC ELECTRONICS LTD.,MIRCELECTR
CENTURY ENKA LTD.,CENTENKA
LORDS CHLORO ALKALI LTD.,LORDSCHLO
SPICEJET LTD.,SPICEJET
MOREPEN LABORATORIES LTD.,MOREPENLAB
MRF LTD.,MRF
HEIDELBERGCEMENT INDIA LTD.,HEIDELBERG
NCC Limited,NCC
Vedanta Limited,VEDL
NAHAR SPINNING MILLS LTD.,NAHARSPING
NATIONAL PEROXIDE LTD.,NATPEROX
GRASIM INDUSTRIES LTD.,GRASIM
PIRAMAL ENTERPRISES LTD.,PEL
NIIT LTD.,NIITLTD
JAYKAY ENTERPRISES LTD.,JAYKAY
NIRLON LTD.,NIRLON
Oil and Natural Gas Corporation Ltd,ONGC
OIL COUNTRY TUBULAR LTD.,OILCOUNTUB
ORIENTAL HOTELS LTD.,ORIENTHOT
OSWAL AGRO MILLS LTD.,OSWALAGRO
INDIAN SUCROSE LTD.,INDSUCR
RELIANCE INDUSTRIES LTD.,RELIANCE
Pil Italica Lifestyle Ltd,PILITA
RAYMOND LTD.,RAYMOND
PIDILITE INDUSTRIES LTD.,PIDILITIND
PIX TRANSMISSIONS LTD.,PIXTRANS
BIRLA CORPORATION LTD.,BIRLACORPN
SURYA ROSHNI LTD.,SURYAROSNI
PRIME SECURITIES LTD.,PRIMESECU
Prism Johnson Ltd,PRSMJOHNSN
Rain Industries Ltd,RAIN
AMJ Land Holdings Ltd,AMJLAND
PUNJAB COMMUNICATIONS LTD.-$,PUNJCOMMU
RSWM LTD.,RSWM
RAJSHREE SUGARS & CHEMICALS LTD.,RAJSREESUG
RALLIS INDIA LTD.,RALLIS
SHREE RAMA NEWSPRINT LTD.,RAMANEWS
RAMA PAPER MILLS LTD.,RAMAPPR-B
RAMA PETROCHEMICALS LTD.,RAMAPETRO
RAPICUT CARBIDES LTD.,RAPICUT
Welspun Specialty Solutions Ltd,WELSPLSOL
ROLTA INDIA LTD.,ROLTA
RUBFILA INTERNATIONAL LTD.,RUBFILA
RUCHI SOYA INDUSTRIES LTD.,RUCHISOYA
SALORA INTERNATIONAL LTD.,SALORAINTL
JINDAL SAW LTD.,JINDALSAW
JK LAKSHMI CEMENT LTD.,JKLAKSHMI
SHREE CEMENT LTD.,SHREECEM
SHREE KRISHNA PAPER MILLS & INDUSTRIES LTD.,SKPMIL
RELIANCE INFRASTRUCTURE LTD.,RELINFRA
TATA POWER CO.LTD.,TATAPOWER
SPML Infra Limited,SPMLINFRA
SUNDRAM FASTENERS LTD.,SUNDRMFAST
SUNFLAG IRON & STEEL CO.LTD.,SUNFLAG
SUPREME PETROCHEM LTD.,SUPPETRO
SWARAJ ENGINES LTD.,SWARAJENG
TATA ELXSI LTD.,TATAELXSI
ACC LTD.,ACC
THERMAX LTD.,THERMAX
THIRUMALAI CHEMICALS LTD.,TIRUMALCHM
THOMAS COOK (INDIA) LTD.,THOMASCOOK
TIMEX GROUP INDIA LTD.-$,TIMEX
TOKYO PLAST INTERNATIONAL LTD.,TOKYOPLAST
