name,symbol,added_date
INFOSYS LTD.,INFY,2021-10-05
INGERSOLL-RAND (INDIA) LTD.,INGERRAND,2021-10-05
INSILCO LTD.,INSILCO,2021-10-05
INTERNATIONAL TRAVEL HOUSE LTD.-$,ITHL,2021-10-05
ION EXCHANGE (INDIA) LTD.-$,IONEXCHANG,2021-10-05
AGRO TECH FOODS LTD.,ATFL,2021-10-05
JAIN IRRIGATION SYSTEMS LTD.,JISLJALEQS,2021-10-05
JASCH INDUSTRIES LTD.,JASCH,2021-10-05
JCT LTD.,JCTLTD,2021-10-05
JINDAL POLY FILMS LTD.,JINDALPOLY,2021-10-05
JSW STEEL LTD.,JSWSTEEL,2021-10-05
UMANG DAIRIES LTD.,UMANGDAIR,2021-10-05
KAJARIA CERAMICS LTD.,KAJARIACER,2021-10-05
KAKATIYA CEMENT SUGAR & INDUSTRIES LTD.,KAKATCEM,2021-10-05
KALYANI STEELS LTD.,KSL,2021-10-05
Kanel Industries Limited,KANELIND,2021-10-05
WHIRLPOOL OF INDIA LTD.,WHIRLPOOL,2021-10-05
KG DENIM LTD.,KGDENIM,2021-10-05
KINETIC ENGINEERING LTD.,KINETICENG,2021-10-05
KIRLOSKAR BROTHERS LTD.-$,KIRLOSBROS,2021-10-05
Kirloskar Industries Ltd,KIRLOSIND,2021-10-05
KIRLOSKAR FERROUS INDUSTRIES LTD.,KIRLFER,2021-10-05
ENVAIR ELECTRODYNE LTD.,ENVAIREL,2021-10-05
KOTAK MAHINDRA BANK LTD.,KOTAKBANK,2021-10-05
Krishna Filament Industries Ltd,KRIFILIND,2021-10-05
KSB Ltd,KSB,2021-10-05
L.G.BALAKRISHNAN & BROS.LTD.,LGBBROSLTD,2021-10-05
TRENT LTD.,TRENT,2021-10-05
LAKSHMI MACHINE WORKS LTD.,LAXMIMACH,2021-10-05
LIC HOUSING FINANCE LTD.,LICHSGFIN,2021-10-05
LUPIN LTD.,LUPIN,2021-10-05
LYKA LABS LTD.,LYKALABS,2021-10-05
The Ramco Cements Limited,RAMCOCEM,2021-10-05
MAFATLAL INDUSTRIES LTD.-$,MAFATIND,2021-10-05
MAHARASHTRA SEAMLESS LTD.,MAHSEAMLES,2021-10-05
MAHARASHTRA SCOOTERS LTD.,MAHSCOOTER,2021-10-05
MAJESTIC AUTO LTD.-$,MAJESAUT,2021-10-05
MANALI PETROCHEMICAL LTD.,MANALIPETC,2021-10-05
Max Financial Services Ltd,MFSL,2021-10-05
MESCO PHARMACEUTICALS LTD.,MESPHAR-B,2021-10-05
MID INDIA INDUSTRIES LTD.,MIDINDIA,2021-10-05
MIRC ELECTRONICS LTD.,MIRCELECTR,2021-10-05
CENTURY ENKA LTD.,CENTENKA,2021-10-05
LORDS CHLORO ALKALI LTD.,LORDSCHLO,2021-10-05
SPICEJET LTD.,SPICEJET,2021-10-05
MOREPEN LABORATORIES LTD.,MOREPENLAB,2021-10-05
MRF LTD.,MRF,2021-10-05
HEIDELBERGCEMENT INDIA LTD.,HEIDELBERG,2021-10-05
NCC Limited,NCC,2021-10-05
Vedanta Limited,VEDL,2021-10-05
NAHAR SPINNING MILLS LTD.,NAHARSPING,2021-10-05
NATIONAL PEROXIDE LTD.,NATPEROX,2021-10-05
GRASIM INDUSTRIES LTD.,GRASIM,2021-10-05
PIRAMAL ENTERPRISES LTD.,PEL,2021-10-05
NIIT LTD.,NIITLTD,2021-10-05
JAYKAY ENTERPRISES LTD.,JAYKAY,2021-10-05
NIRLON LTD.,NIRLON,2021-10-05
Oil and Natural Gas Corporation Ltd,ONGC,2021-10-05
OIL COUNTRY TUBULAR LTD.,OILCOUNTUB,2021-10-05
ORIENTAL HOTELS LTD.,ORIENTHOT,2021-10-05
OSWAL AGRO MILLS LTD.,OSWALAGRO,2021-10-05
INDIAN SUCROSE LTD.,INDSUCR,2021-10-05
RELIANCE INDUSTRIES LTD.,RELIANCE,2021-10-05
Pil Italica Lifestyle Ltd,PILITA,2021-10-05
RAYMOND LTD.,RAYMOND,2021-10-05
PIDILITE INDUSTRIES LTD.,PIDILITIND,2021-10-05
PIX TRANSMISSIONS LTD.,PIXTRANS,2021-10-05
BIRLA CORPORATION LTD.,BIRLACORPN,2021-10-05
SURYA ROSHNI LTD.,SURYAROSNI,2021-10-05
PRIME SECURITIES LTD.,PRIMESECU,2021-10-05
Prism Johnson Ltd,PRSMJOHNSN,2021-10-05
Rain Industries Ltd,RAIN,2021-10-05
AMJ Land Holdings Ltd,AMJLAND,2021-10-05
